"СРЕДНИЕ  ЦЕНЫ  НА  ТОВАРЫ	 РЕАЛИЗУЕМЫЕ В РОЗНИЧНОЙ СЕТИ (в магазинах и на городских рынках) *"								
"(в рублях за килограмм	 литр	 десяток	 изделие)"								
за октябрь 2019 года**								
								
								
	Республика	В том числе:						
	Беларусь	Брестская	Витебская	Гомельская	Гродненская	г. Минск	Минская	Могилевская
"ПЛАТОК (размер 100х100 см)	 ШАРФ (размер 30х150 см) ЖЕНСКИЙ"	15.56	15.79	12.25	15.72	12.28	19.17	14.63	13.35
ШЛЯПА ЖЕНСКАЯ	51.65	47.66	45.65	44.81	56.21	62.13	47.21	45.42
ШАПКА (БЕРЕТ) ТРИКОТАЖНАЯ ЖЕНСКАЯ	22.89	18.79	19.65	21.34	19.31	27.24	23.26	25.16
ШУБА (ПОЛУШУБОК) ИЗ ИСКУССТВЕННОГО МЕХА ЖЕНСКАЯ	226.41	216.74	202.28	228.51	188.66	264.76	275.84	125.01
КОМПЛЕКТ БЕЛЬЯ ЖЕНСКОГО	24.07	20.43	24.88	23.58	26.98	27.21	19.62	23.00
КОСТЮМ КУПАЛЬНЫЙ ЖЕНСКИЙ	49.09	44.19	46.72	43.32	39.04	58.85	45.35	54.27
КОЛГОТКИ ЖЕНСКИЕ	4.83	4.50	4.47	4.93	4.24	5.14	4.84	5.28
БРЮКИ ЖЕНСКИЕ	60.58	46.11	59.57	62.35	50.93	68.35	65.49	59.62
КУРТКА ЗИМНЯЯ И ДЕМИСЕЗОННАЯ  ДЛЯ МАЛЬЧИКА 	83.92	67.66	82.43	75.05	81.01	100.65	80.81	79.52
КУРТКА ЗИМНЯЯ И ДЕМИСЕЗОННАЯ ДЛЯ ДЕВОЧКИ	80.34	68.20	85.93	77.50	82.95	87.44	77.86	74.59
ПАЛЬТО ЗИМНЕЕ И ДЕМИСЕЗОННОЕ ДЛЯ ДЕВОЧКИ    	103.32	79.76	87.08	91.52	102.44	131.27	98.70	98.50
НОСКИ ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ПРЯЖИ ДЕТСКИЕ	1.69	1.62	1.67	1.59	1.67	1.83	1.69	1.61
БРЮКИ ДЕТСКИЕ	38.06	33.77	35.51	33.84	37.26	45.51	35.67	35.65
КОСТЮМ ШКОЛЬНЫЙ 	91.09	71.67	83.07	86.17	86.81	111.58	86.11	86.60
КОСТЮМ СПОРТИВНЫЙ ДЕТСКИЙ	49.41	44.00	39.72	46.16	46.84	61.07	45.55	47.57
"ДЖЕМПЕР	 CВИТЕР ИЗ ПОЛУШЕРСТЯНОЙ	 СМЕСОВОЙ ПРЯЖИ ДЕТСКИЙ "	34.07	30.49	30.33	30.15	31.81	44.05	28.24	30.84
СОРОЧКА ВЕРХНЯЯ ИЗ ХЛОПЧАТОБУМАЖНОЙ ИЛИ СМЕСОВОЙ ТКАНИ ДЛЯ МАЛЬЧИКА	29.32	26.59	29.37	26.34	31.07	33.28	27.33	26.82
ЮБКА ИЗ СМЕСОВЫХ ТКАНЕЙ ИЛИ ТРИКОТАЖНОГО ПОЛОТНА  ДЕТСКАЯ	27.90	23.98	26.26	24.96	27.82	35.26	22.82	25.52
"ПЛАТЬЕ ИЗ ХЛОПЧАТОБУМАЖНОЙ	 СМЕСОВОЙ ТКАНИ ДЕТСКОЕ"	38.59	25.78	35.91	31.51	31.90	54.27	37.03	33.25
"КОСТЮМ	 КОМПЛЕКТ (ЮБКА	 БРЮКИ	 ЖАКЕТ) ДЛЯ ДЕВОЧКИ"	60.92	66.06	56.50	63.02	69.14	45.77	73.38	73.52
ДЖИНСЫ ДЕТСКИЕ	40.65	33.92	35.35	40.33	38.42	48.22	40.55	37.29
БЕЛЬЕ  ДЛЯ НОВОРОЖДЕННЫХ И ДЕТЕЙ ЯСЕЛЬНОГО ВОЗРАСТА	9.40	9.82	8.23	8.27	8.53	9.47	10.72	10.62
КОМПЛЕКТ БЕЛЬЯ ДЕТСКОГО	9.16	8.75	9.32	8.97	9.10	9.46	8.98	9.21
ФУФАЙКА ИЗ ХЛОПЧАТОБУМАЖНОЙ ПРЯЖИ ДЕТСКАЯ	9.29	8.15	8.22	8.52	8.86	11.67	7.61	9.22
"ПЕРЧАТКИ	 ВАРЕЖКИ ТРИКОТАЖНЫЕ ДЕТСКИЕ"	6.77	5.79	6.82	6.21	6.74	7.76	6.86	5.92
ШАПОЧКА ТРИКОТАЖНАЯ ДЕТСКАЯ	15.62	14.12	15.68	14.50	13.46	21.46	12.02	9.75
КОЛГОТКИ ДЕТСКИЕ	5.47	5.52	5.34	5.36	4.98	5.77	5.59	5.20
ПИЖАМА ДЕТСКАЯ	21.01	17.58	17.62	16.69	20.08	27.56	20.21	19.05
"ПОЛУБОТИНКИ	 ТУФЛИ КОЖАНЫЕ МУЖСКИЕ"	97.74	96.63	111.16	95.91	85.96	98.15	100.31	93.05
САПОГИ (БОТИНКИ) НА МЕХУ МУЖСКИЕ	143.47	141.38	147.88	134.89	122.25	159.60	145.06	126.47
ОБУВЬ ДОМАШНЯЯ МУЖСКАЯ 	17.27	15.61	16.14	16.86	17.41	19.50	17.12	15.11
ТУФЛИ КРОССОВЫЕ МУЖСКИЕ	69.58	63.52	68.46	67.77	60.42	78.70	63.42	73.60
"БОСОНОЖКИ	 САНДАЛЕТЫ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕНОЙ КОЖИ МУЖСКИЕ"	68.35	64.89		70.13	75.22		61.52	73.12
САПОГИ ЦЕЛЬНОРЕЗИНОВЫЕ ДЛЯ ВЗРОСЛЫХ	22.53	19.52	22.74	20.68	20.92	25.68	21.40	23.16
САПОГИ ЗИМНИЕ НА НИЗКОМ КАБЛУКЕ ЖЕНСКИЕ	199.15	190.48	237.25	195.99	178.60	190.87	192.76	223.41
САПОГИ  ДЕМИСЕЗОННЫЕ НА ВЫСОКОМ КАБЛУКЕ ЖЕНСКИЕ	172.20	190.34	167.68	164.24	168.52	163.99	174.03	188.79
"ТУФЛИ КОЖАНЫЕ НА НИЗКОМ КАБЛУКЕ	 НА СИНТЕТИЧЕСКОЙ ПОДОШВЕ ЖЕНСКИЕ"	87.70	83.95	99.00	92.64	85.79	83.36	85.33	90.12
ТУФЛИ МОДЕЛЬНЫЕ ЖЕНСКИЕ	98.77	101.88	93.28	89.85	90.19	108.77	95.92	97.81
ТУФЛИ ЛЕТНИЕ КОЖАНЫЕ ЖЕНСКИЕ	79.32	79.23		86.00	79.62	71.30	80.97	90.39
ОБУВЬ ДОМАШНЯЯ ЖЕНСКАЯ 	16.31	17.24	15.30	15.98	17.33	16.24	17.33	14.41
ТУФЛИ ИЗ ИСКУССТВЕННОЙ КОЖИ ЖЕНСКИЕ 	51.26	46.66	54.10	47.16	52.82	52.22	55.07	50.02
ПОЛУСАПОЖКИ ЗИМНИЕ И ДЕМИСЕЗОННЫЕ ДЛЯ МАЛЬЧИКА	83.65	87.86	84.47	75.64	77.77	84.84	79.86	96.08
ПОЛУСАПОЖКИ (САПОЖКИ) ЗИМНИЕ И ДЕМИСЕЗОННЫЕ ДЛЯ ДЕВОЧКИ	83.83	98.54	91.76	76.99	77.18	83.50	72.79	87.38
"БОТИНКИ	 ТУФЛИ КОЖАНЫЕ ДЕМИСЕЗОННЫЕ ДЛЯ МАЛЬЧИКА"	63.14	53.70	68.15	56.75	57.84	68.53	67.49	62.64
ТУФЛИ ДЕВИЧЬИ	52.46	49.49	50.36	45.87	48.60	60.44	51.03	51.34
ТУФЛИ КРОССОВЫЕ ДЕТСКИЕ	43.25	44.73	48.03	40.40	41.74	41.67	44.08	44.35
"СТОЛ ПИСЬМЕННЫЙ	 КОМПЬЮТЕРНЫЙ"	189.09	156.03	179.16	193.58	195.16	186.52	184.88	246.24
ШКАФ ДЛЯ ОДЕЖДЫ И БЕЛЬЯ	589.98	641.29	519.70	590.56	597.83	604.05	548.54	614.05
СТУЛ	129.93	129.31	126.27	115.47	120.71	141.97	132.79	126.23
НАБОР МЕБЕЛИ ДЛЯ СПАЛЬНИ	1803.06	1863.84	1534.70	1478.71	1722.50	1882.81	2054.06	1992.61
НАБОР МЯГКОЙ МЕБЕЛИ	1849.76	2256.49	1463.21	1610.90	2030.66	1553.98	2546.54	1770.70
НАБОР КОРПУСНОЙ МЕБЕЛИ 	978.90	977.13	911.97	1007.87	1184.67	879.76	879.86	1232.31
"ДИВАН-КРОВАТЬ	 ТАХТА"	982.34	1042.28	852.27	893.63	1054.65	1091.26	988.33	786.96
ГАРНИТУР КУХОННЫЙ	925.86	813.89	1096.80	819.78	1050.22	767.06	1097.02	1104.48
ГАРНИТУР ДЛЯ ПРИХОЖЕЙ	465.75	561.01	461.94	480.75	510.22	361.25	492.28	536.14
КОВЕР ИЗ СИНТЕТИЧЕСКОЙ ПРЯЖИ (за 1 м2)  	35.25	31.80	30.93	34.89	28.89	42.17	31.44	37.63
ДОРОЖКА КОВРОВАЯ (за 1 м2)	20.15	19.94	18.16	21.32	21.09	22.04	19.18	16.20
КОМПЛЕКТ БЕЛЬЯ ПОСТЕЛЬНОГО 	61.90	55.93	57.80	53.91	59.04	72.36	60.41	61.12
"ОДЕЯЛО ШЕРСТЯНОЕ	 ПОЛУШЕРСТЯНОЕ"	69.84	75.22	59.85	64.15	74.65	77.01	64.36	64.74
ОДЕЯЛО СТЕГАНОЕ (ВАТНОЕ ИЛИ С ДРУГИМИ НАПОЛНИТЕЛЯМИ)	61.74	57.39	56.21	62.03	56.69	72.35	54.12	59.45
ПОКРЫВАЛО 	49.74	45.59	44.93	49.13	49.52	53.30	57.37	41.29
СКАТЕРТЬ	23.58	24.97	20.86	24.20	23.67	21.01	27.09	26.43
ПОЛОТНО ГАРДИННОЕ ТЮЛЕВОЕ ИЗ СИНТЕТИЧЕСКИХ НИТЕЙ (ширина 300 см) (за 1 м)	14.87	11.92	14.66	13.87	16.14	15.87	16.49	14.10
ПОЛОТЕНЦЕ МАХРОВОЕ БАННОЕ (размер 80х160 см)	26.05	25.05	26.41	25.07	24.23	28.03	26.38	24.07
ТАРЕЛКА МЕЛКАЯ ИЛИ ГЛУБОКАЯ	3.56	3.34	3.71	3.28	3.15	3.97	3.77	3.06
"СЕРВИЗ ЧАЙНЫЙ	 КОФЕЙНЫЙ"	54.52	53.09	50.15	52.06	43.87	61.24	60.50	48.39
ВАЗА	23.68	29.71	23.92	24.89	29.19	18.48	23.43	23.10
КАСТРЮЛЯ	31.77	28.43	32.44	32.61	29.92	32.25	35.43	29.69
"ПРИБОРЫ СТОЛОВЫЕ ИЗ НЕРЖАВЕЮЩЕЙ СТАЛИ (вилка	 ложка	 нож) "	12.21	10.73	10.06	10.63	10.53	15.98	11.76	10.52
СКОВОРОДА С АНТИПРИГАРНЫМ ПОКРЫТИЕМ	45.15	39.33	41.23	40.46	41.61	56.23	42.49	39.98
ХОЛОДИЛЬНИК	942.67	969.54	945.51	913.22	887.29	991.94	881.65	946.11
ЛАМПА ЭЛЕКТРИЧЕСКАЯ	1.82	1.29	1.95	2.05	1.99	2.21	1.25	1.59
МАШИНА СТИРАЛЬНАЯ	661.11	682.92	729.15	702.82	646.99	508.68	813.48	727.01
ПЫЛЕСОС НАПОЛЬНЫЙ 	230.02	245.74	230.61	212.62	203.58	235.06	262.96	198.57
УТЮГ ЭЛЕКТРИЧЕСКИЙ	80.51	81.19	75.75	72.21	64.84	79.71	88.80	103.43
КОМБАЙН КУХОННЫЙ	224.82	201.67	196.42	205.12	196.73	291.71	194.48	198.06
ЛЮСТРА ЭЛЕКТРИЧЕСКАЯ	92.73	87.78	117.94	86.50	70.57	106.08	81.50	78.43
ЧАЙНИК ЭЛЕКТРИЧЕСКИЙ	52.36	51.28	54.70	51.49	48.86	50.68	50.81	62.80
СОКОВЫЖИМАЛКА ЭЛЕКТРИЧЕСКАЯ	151.37	148.29	136.54	156.17	143.02	162.91	142.29	154.98
МУЛЬТИВАРКА ЭЛЕКТРИЧЕСКАЯ	173.06	201.71	172.52	164.66	152.31	166.62	178.99	177.99
ПЕЧЬ МИКРОВОЛНОВАЯ	215.00	211.88	231.05	213.21	207.15	220.57	206.03	207.29
ПЛИТА (ВАРОЧНАЯ ПАНЕЛЬ) БЫТОВАЯ ЭЛЕКТРИЧЕСКАЯ	640.53	663.90	657.88	599.37	642.68	635.45	654.32	638.43
РАДИАТОР БЫТОВОЙ ЭЛЕКТРИЧЕСКИЙ	127.15	129.58	117.44	123.35	117.98	132.65	131.43	128.34
ДРЕЛЬ ЭЛЕКТРИЧЕСКАЯ	127.60	122.30	131.57	123.32	115.63	147.47	100.10	130.31
ТРИММЕР	246.85	232.74	240.44	235.05	223.06	268.39	245.88	254.18
РОЗЕТКА ЭЛЕКТРИЧЕСКАЯ	3.64	3.25	3.99	3.46	2.62	3.79	4.25	3.77
УДЛИНИТЕЛЬ	14.14	13.40	12.09	13.73	12.92	14.85	14.40	17.01
ТЕЛЕВИЗОР ЦВЕТНОГО ИЗОБРАЖЕНИЯ	858.19	752.95	762.63	735.17	707.60	1181.73	737.61	686.40
МУЗЫКАЛЬНЫЙ ЦЕНТР (МИНИ-СИСТЕМА)	429.69	359.51	354.24	289.30	358.23	507.14	516.42	539.14
ПЛЕЕР	84.00	115.15	72.68	108.63	95.96	81.82	60.40	48.63
"ФЛЭШ-КАРТА	 КАРТА ПАМЯТИ"	18.62	17.70	19.89	17.34	17.58	20.85	16.90	17.21
КИРПИЧ СТРОИТЕЛЬНЫЙ (за 1тыс. шт.)	579.93	439.09	646.63	593.69	421.09	524.70	660.47	877.33
ОБОИ (за рул. 10 м)	13.69	15.81	14.33	13.04	12.05	13.38	12.07	15.77
ПИЛОМАТЕРИАЛЫ ХВОЙНЫЕ                                                               ОБРЕЗНЫЕ И НЕОБРЕЗНЫЕ (за 1 м3 ) 	411.37	260.56	457.89	288.33	384.44	596.98	297.13	389.30
ПЛИТКА КЕРАМИЧЕСКАЯ (за 1 м2)	21.38	20.78	19.75	19.92	17.90	24.60	18.62	24.39
ЦЕМЕНТ (за 50 кг)	14.40	11.75	11.54	11.45	11.29	20.89	13.72	11.07
"ШИФЕР	 ЛИСТ КРОВЕЛЬНЫЙ (ТИПА ""ОНДУЛИН"")                                  (размером 40х40 см каждая) (за 10 усл. шт.)"	10.42	9.84	10.40	9.15	9.31	11.94	10.40	9.80
ЛИНОЛЕУМ (за 1 м2)	15.46	14.12	14.34	16.25	15.54	16.75	14.16	15.57
СТЕКЛО ОКОННОЕ (за 1 м2)	18.17	18.98	21.07	16.28	16.44	20.86	11.17	20.23
СЧЕТЧИК УЧЕТА ПОТРЕБЛЕНИЯ ВОДЫ	38.09	36.38	35.14	34.69	37.70	41.14	39.51	38.32
"МАТЕРИАЛЫ ДЛЯ ОБЛИЦОВКИ И ОТДЕЛКИ: ПАНЕЛИ ДЛЯ ОТДЕЛКИ ПОТОЛКА	 СТЕН ИЗ ПВХ (за 1 м2)"	9.35	9.21	9.83	9.23	9.50	9.18	8.86	10.18
"СТРОИТЕЛЬНЫЕ  ДЕТАЛИ И КОНСТРУКЦИИ ИЗ ПВХ	 АЛЮМИНИЯ: (оконный блок двухстворчатый размером 130х140 см со стеклопакетом)"	322.78	304.89	304.92	262.32	308.36	371.63	373.13	256.74
СТРОИТЕЛЬНЫЕ ДЕТАЛИ И КОНСТРУКЦИИ ИЗ ДЕРЕВА (дверной блок с дверью размером 210х70 см или 210х80 см)	245.49	249.57	251.06	214.17	260.03	283.70	216.95	193.31
ЛАМИНАТ (за 1 м2)	19.71	17.82	17.00	17.68	19.05	23.47	16.60	22.60
СУМКА ИЗ ИСКУССТВЕННОЙ КОЖИ	60.22	56.66	58.82	56.64	58.51	67.73	58.77	54.03
СУМКА ИЗ НАТУРАЛЬНОЙ КОЖИ	162.91	162.76	144.73	159.59	148.09	188.22	147.04	154.72
ПЕРЧАТКИ ИЗ НАТУРАЛЬНОЙ КОЖИ	57.95	52.71	51.94	50.09	64.63	62.18	61.36	59.42
РЕМЕНЬ ПОЯСНОЙ ИЗ НАТУРАЛЬНОЙ ИЛИ ИСКУССТВЕННОЙ КОЖИ	24.21	22.17	23.76	21.50	21.63	28.18	22.90	24.42
ГАЛСТУК МУЖСКОЙ	15.68	13.83	15.31	13.84	13.01	19.39	14.36	15.22
БИНТ (размер 5 см х 10 м) (за 1 шт.)	0.65	0.57	0.73	0.62	0.72	0.64	0.69	0.54
ВАТА (за 100 г)	2.93	2.65	2.72	2.72	2.81	3.14	2.92	3.42
ШПРИЦ (за 1 шт.)	0.19	0.19	0.19	0.21	0.17	0.18	0.18	0.27
АППАРАТ ДЛЯ ИЗМЕРЕНИЯ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ            (за 1 шт.)	89.40	78.38	93.74	75.99	93.53	106.34	70.79	91.38
ОЧКИ И ОПРАВЫ (за 1 шт.)	29.14	33.05	29.85	27.57	35.92	28.09	22.60	30.51
АВТОМОБИЛЬ ЛЕГКОВОЙ 	30224.79	27285.35	26687.81	32097.46	27916.35	32811.14	28251.41	33564.76
ВЕЛОСИПЕД (КРОМЕ ДЕТСКОГО)	332.53	303.27	325.26	337.29	355.52	371.62	268.74	328.90
"МОТОЦИКЛ	 СКУТЕР"	2381.52	2233.81	2121.58	2610.00	2441.06	2738.85	1700.00	2453.61
БЕНЗИН АВТОМОБИЛЬНЫЙ (за 1 л)	1.63	1.63	1.63	1.62	1.63	1.63	1.62	1.63
ТОПЛИВО ДИЗЕЛЬНОЕ (за 1 л)	1.68	1.68	1.68	1.68	1.68	1.68	1.68	1.68
ГАЗОВОЕ МОТОРНОЕ ТОПЛИВО (за 1 л)	0.90	0.97	0.89	0.89	0.86	0.90	0.91	0.89
МАСЛО МОТОРНОЕ (за 1 л)	10.87	11.10	9.98	10.73	9.12	13.12	8.75	10.13
МОЮЩИЕ СРЕДСТВА ПО УХОДУ ЗА АВТОМОБИЛЯМИ (за 1 л)	7.73	6.86	9.74	7.04	6.88	6.50	9.64	9.16
ЕЖЕДНЕВНАЯ ГАЗЕТА 	0.56	0.56	0.54	0.52	0.68	0.57	0.51	0.55
ЕЖЕНЕДЕЛЬНАЯ ГАЗЕТА  	0.87	0.84	0.89	0.90	0.88	0.93	0.79	0.79
ЕЖЕМЕСЯЧНЫЙ ЖУРНАЛ 	2.80	2.33	2.93	2.84	2.47	3.43	2.50	2.19
ЧАСЫ	64.10	43.53	47.87	66.81	43.37	86.66	67.15	59.97
МЫЛО ХОЗЯЙСТВЕННОЕ (за 400 г)	2.75	2.54	2.77	2.53	2.57	3.13	2.45	2.82
СИНТЕТИЧЕСКИЕ МОЮЩИЕ СРЕДСТВА (за 500 г)	2.49	2.75	2.23	2.56	2.26	2.58	2.65	2.12
СРЕДСТВА  ДЛЯ МЫТЬЯ ПОСУДЫ (за 1 л)	5.16	5.07	4.70	5.66	4.55	5.30	5.31	5.13
"КРЕМ ДЛЯ ОБУВИ (за 75 г	 75 мл)"	2.96	2.25	2.79	2.91	2.12	3.85	2.53	3.15
КРАСКА ДЛЯ ПОЛА И ПРОЧАЯ (за 1 кг)	6.85	5.83	6.77	6.76	6.99	6.90	7.29	7.50
ЛАК ДЛЯ ПАРКЕТА И ПРОЧИЙ (за 1 кг)	12.10	11.69	12.63	11.21	11.96	12.80	12.03	11.50
"ТОВАРЫ ХОЗЯЙСТВЕННЫЕ ИЗ ПЛАСТМАССЫ	 МЕТАЛЛА"	7.19	4.88	5.79	9.50	5.85	5.97	10.72	8.61
НАБОР МЕБЕЛИ ДЛЯ ВАННОЙ КОМНАТЫ	382.60	340.93	437.20	400.39	323.41	402.04	268.07	515.42
КАРНИЗЫ 	27.23	23.43	21.19	22.11	27.94	33.35	28.36	26.85
ИЗДЕЛИЯ ЗАМОЧНО-СКОБЯНЫЕ: ЗАМКИ ВРЕЗНЫЕ И НАКЛАДНЫЕ (за 1 шт.)	27.04	21.72	26.19	28.40	27.82	27.38	31.27	25.61
ЮВЕЛИРНЫЕ ИЗДЕЛИЯ ИЗ ЗОЛОТА (за 1 г)	146.90	151.22	147.18	148.67	148.84	143.82	152.70	136.92
ФОТОКАМЕРА ЦИФРОВАЯ 	456.34	476.70	427.16	436.42	553.16	321.82	716.67	409.00
ИГРУШКИ	19.56	17.01	19.00	19.92	19.67	22.97	16.63	17.50
АППАРАТ  ТЕЛЕФОННЫЙ 	56.41	49.17	51.01	56.14	52.77	69.36	50.03	48.76
КОЛЯСКА  ДЕТСКАЯ 	429.38	399.32	415.92	433.26	414.07	496.99	315.26	464.16
ЗОНТ	42.32	33.96	32.20	35.54	32.55	57.14	43.19	41.54
БРИТВА ЭЛЕКТРИЧЕСКАЯ	86.30	83.03	89.93	96.25	98.60	78.58	74.63	98.45
ФЕН ЭЛЕКТРИЧЕСКИЙ	63.78	63.08	60.37	53.92	63.40	66.11	74.62	60.96
СМАРТФОН (в комплекте)	464.62	338.96	405.91	390.97	415.50	655.79	368.48	446.78
ТЕТРАДЬ (в пересчете на 12 листов)	0.24	0.20	0.25	0.24	0.24	0.30	0.21	0.20
РУЧКА ШАРИКОВАЯ	0.66	0.64	0.53	0.62	0.58	0.78	0.67	0.67
ШАМПУНЬ (за 250 мл)	3.24	3.11	3.08	3.05	2.63	4.01	2.83	2.85
"ЗУБНАЯ ПАСТА (за 75 г	 75 мл)"	2.32	2.49	2.06	2.42	1.97	2.27	2.82	2.09
МЫЛО ТУАЛЕТНОЕ (за 150 г)	1.93	1.87	1.82	1.97	1.89	2.06	1.73	2.10
"КРЕМ ДЛЯ ЛИЦА (за 100 г	 100 мл)"	13.14	12.23	12.32	12.13	10.43	16.46	11.90	11.85
ДЕЗОДОРАНТ (за 110 мл)	4.26	3.53	3.42	3.83	3.52	5.18	4.95	4.01
ЛЕЗВИЯ ДЛЯ БРИТВЫ (за блок из 10 лезвий)	2.88	2.77	2.89	2.87	2.93	2.55	3.25	3.41
ЩЕТКА ЗУБНАЯ 	3.27	2.46	2.68	2.45	2.52	5.23	2.55	2.44
ТУАЛЕТНАЯ ВОДА (за 100 мл)	24.66	30.25	24.17	23.45	17.98	25.17	23.16	26.86
"ГУБНАЯ ПОМАДА (за 4-4	8 г)"	4.51	4.31	4.73	5.16	4.08	4.43	4.17	4.77
"БАЛЬЗАМ ДЛЯ ВОЛОС (за 250 мл)	 ЛАК ДЛЯ ВОЛОС (за 250 мл)              "	4.18	3.68	4.21	4.27	3.63	4.48	4.35	4.15
МАШИНА ШВЕЙНАЯ	329.28	311.46	325.70	328.93	309.30	348.27	319.82	337.63
МАШИНА ПОСУДОМОЕЧНАЯ	896.11	960.57	841.24	893.78	899.65	890.14	937.38	833.19
ЦВЕТЫ (за 1 шт.)	3.59	3.63	3.82	3.32	3.66	3.57	3.67	3.53
ДРОВА (за 1 м3)	8.17	8.82	9.48	7.97	9.23	5.89	10.11	8.74
ТОРФ (за 1 т)	24.54	26.99	24.10	26.90	27.91	18.43	28.57	26.75
КАРТРИДЖ  ДЛЯ ОЧИСТКИ ВОДЫ	11.07	9.81	10.07	10.18	11.12	12.80	10.45	11.09
СПИЧКИ (за 1 коробок)	0.06	0.05	0.05	0.05	0.05	0.06	0.05	0.06
