"СРЕДНИЕ  ЦЕНЫ  НА  ТОВАРЫ	 РЕАЛИЗУЕМЫЕ В РОЗНИЧНОЙ СЕТИ (в магазинах и на городских рынках) *"								
"(в рублях за килограмм	 литр	 десяток	 изделие)"								
за октябрь 2019 года**								
								
								
	Республика	В том числе:						
	Беларусь	Брестская	Витебская	Гомельская	Гродненская	г. Минск	Минская	Могилевская
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ	 СТЕРИЛИЗОВАННОЕ"	1.45	1.47	1.41	1.39	1.34	1.43	1.43	1.70
КЕФИР (ПРОДУКТ КЕФИРНЫЙ)	1.43	1.44	1.37	1.38	1.39	1.47	1.44	1.46
СМЕТАНА 	5.19	4.97	5.11	5.00	4.97	5.55	5.10	5.14
ТВОРОГ ЖИРНЫЙ	6.67	6.37	6.75	6.74	6.24	7.02	6.36	6.77
ТВОРОГ НЕЖИРНЫЙ	5.81	5.72	5.71	5.76	5.66	6.14	5.52	5.68
ЙОГУРТ (за 250 г)	1.32	1.24	1.33	1.29	1.41	1.36	1.28	1.37
СЫРОК ГЛАЗИРОВАННЫЙ (за 50 г)	0.68	0.66	0.69	0.66	0.66	0.71	0.67	0.70
"ТВОРОЖНЫЙ ДЕСЕРТ	 КРЕМ	 ПУДИНГ	 ПАСТА (за 200 г)"	1.47	1.53	1.49	1.43	1.42	1.49	1.41	1.49
"ПОЛУФАБРИКАТЫ ИЗ ТВОРОГА (ВАРЕНИКИ	 БЛИНЧИКИ)"	7.06	6.56	7.06	7.01	6.48	7.78	6.78	6.73
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ	16.99	20.88	17.11	16.95	15.54	15.47	16.96	17.55
МОЛОКО СГУЩЕННОЕ С САХАРОМ (за 1 усл. банку весом 400 г)	2.49	2.36	2.63	2.42	2.50	2.47	2.57	2.53
МОРОЖЕНОЕ	15.07	14.68	14.12	15.75	14.03	15.06	16.43	14.96
"СЫР ТВЕРДЫЙ	 ПОЛУТВЕРДЫЙ"	15.41	14.16	15.17	15.04	14.05	15.53	16.21	17.86
СЫР МЯГКИЙ 	12.89	10.56	12.63	9.95	10.19	15.75	13.79	13.75
СЫР ПЛАВЛЕНЫЙ	10.83	10.41	11.30	8.94	9.67	11.75	11.87	10.57
СЫР РАССОЛЬНЫЙ 	14.18	14.53	16.26	12.24	12.30	14.18	15.84	13.50
МАСЛО ЖИВОТНОЕ	16.39	15.44	16.34	15.58	15.62	17.31	16.34	17.07
МАСЛО РАСТИТЕЛЬНОЕ (КРОМЕ ОЛИВКОВОГО)	2.86	2.75	2.83	2.79	2.85	2.94	2.85	2.90
МАСЛО ОЛИВКОВОЕ (за 1 л)	23.47	23.58	25.13	24.92	22.58	24.72	22.36	18.19
МАРГАРИН	5.14	5.19	4.95	4.96	5.19	5.25	5.15	5.18
ЖИР ЖИВОТНЫЙ	2.43	2.39	1.47	1.53	2.60	4.00	1.28	1.80
ЯЙЦА КУРИНЫЕ (за 10 шт.)	2.07	2.15	1.99	1.88	1.99	2.27	2.05	1.90
